variant,transmission,km_driven,owner_type,fuel_type,registeration,price,year_launch,company_name,model_name
XM 1.2,Manual,95230,1st Owner,Petrol,UP-16,650000,2018,Tata,NEXON
1.0 RXT Opt,Manual,72956,2nd Owner,Petrol,HR-11,319000,2017,Renault,Kwid
ASTA 1.2 (O),Manual,50636,2nd Owner,Petrol,DL-7C,587000,2017,HYUNDAI,ELITE
W8(O),Manual,86652,1st Owner,Diesel,DL-12,822000,2019,Mahindra,XUV
1.5 SX (O) AT,Automatic,20235,1st Owner,Petrol,DL-9C,1674000,2020,Hyundai,Creta
S11,Manual,15235,1st Owner,Diesel,UP-32,1731000,2021,MAHINDRA,SCORPIO
FLUIDIC 1.4 VTVT CX,Manual,57937,1st Owner,Petrol,DL-12,501000,2014,Hyundai,Verna
XZ PETROL,Manual,50097,1st Owner,Petrol,HR-26,419000,2017,Tata,Tiago
5 STR WITH A/C+HTR,Manual,15468,1st Owner,Petrol,DL-2C,486000,2019,Maruti,Eeco
HIGHLINE1.2L PETROL,Manual,64704,2nd Owner,Petrol,DL-3C,495000,2015,VOLKSWAGEN,POLO
LXI,Manual,83279,1st Owner,Petrol,DL-1C,332000,2017,Maruti,WAGON
LXI CNG,Manual,95040,1st Owner,CNG,DL-5C,304000,2018,Maruti,ALTO
ACTIVE 1.0 TSI MT,Manual,13624,1st Owner,Petrol,UP-14,1156000,2022,SKODA,KUSHAQ
DELTA PETROL 1.2,Manual,68018,1st Owner,Petrol,DL-10,499000,2016,Maruti,Baleno
TITANIUM 1.5L DIESEL,Manual,96075,1st Owner,Diesel,DL-3C,789000,2020,FORD,ECOSPORT
SPORTZ 1.2 KAPPA VTVT,Manual,23308,1st Owner,Petrol,DL-8C,396000,2015,HYUNDAI,GRAND
SIGMA 1.5 SHVS,Manual,9769,1st Owner,Petrol,DL-7C,879000,2021,Maruti,S
85 PS RXE DIESEL ADVENTURE,Manual,56105,1st Owner,Diesel,DL-1C,388000,2014,RENAULT,DUSTER
ZXI+,Manual,28899,1st Owner,Petrol,DL-6C,631000,2018,Maruti,SWIFT
1.6 SX VTVT,Manual,25995,2nd Owner,Petrol,DL-8C,822000,2018,Hyundai,Verna
LXI,Manual,12982,1st Owner,Petrol,DL-6C,589000,2021,Maruti,SWIFT
GLS,Manual,95604,1st Owner,Petrol,HR-26,247000,2014,HYUNDAI,SANTRO
RXL,Manual,8611,1st Owner,Petrol,HR-26,398000,2020,RENAULT,KWID
ZDI PLUS AMT,Automatic,66354,1st Owner,Diesel,UP-37,840000,2018,Maruti,VITARA
1.6 SX (O) CRDI,Manual,56461,1st Owner,Diesel,DL-8C,765000,2015,HYUNDAI,CRETA
SPORTZ 1.2 KAPPA VTVT,Manual,31109,1st Owner,Petrol,DL-3C,428000,2016,Hyundai,Grand
LXI,Manual,45565,1st Owner,Petrol,HR-35,552000,2020,Maruti,Dzire
TREND+ 1.2 TI-VCT,Manual,22989,1st Owner,Petrol,DL-7C,619000,2019,Ford,FREESTYLE
